window_s,fast_recovery_5s_V,initial_slope_0_5_V_per_s,relaxation_area_Vs,label,delta_q_ah
5,0.016659455350783503,0.003291806020449901,0.04524051005112861,healthy,0.0
10,0.016659455350783947,0.003291806020449901,0.1580464369691343,healthy,0.0
30,0.016659455350783947,0.003291806020449901,1.0105566276059648,healthy,0.0
60,0.016659455350783947,0.003291806020449901,2.9741032014992532,healthy,0.0
120,0.016659455350783947,0.003291806020449901,8.073539336656872,healthy,0.0
5,0.01700248097869217,0.003361082346817155,0.046108730711510455,storage_loss_0.135Ah,0.135
10,0.017002480978692613,0.003361082346817155,0.16138443523285054,storage_loss_0.135Ah,0.135
30,0.017002480978692613,0.003361082346817155,1.0359345376448885,storage_loss_0.135Ah,0.135
60,0.017002480978692613,0.003361082346817155,3.0645848667677686,storage_loss_0.135Ah,0.135
120,0.017002480978692613,0.003361082346817155,8.384550922038738,storage_loss_0.135Ah,0.135
