window_s,fast_recovery_5s_V,initial_slope_0_5_V_per_s,log_time_slope_5_30_V_per_log_s,relaxation_area_Vs,label,delta_q_ah,protocol
5,0.016659455350783503,0.003291806020449901,,0.04524051005112861,baseline_1C_20min_storage_loss_0.000Ah,0.0,baseline_1C_20min
10,0.016659455350783947,0.003291806020449901,,0.1580464369691343,baseline_1C_20min_storage_loss_0.000Ah,0.0,baseline_1C_20min
30,0.016659455350783947,0.003291806020449901,0.0236892913978565,1.0105566276059648,baseline_1C_20min_storage_loss_0.000Ah,0.0,baseline_1C_20min
60,0.016659455350783947,0.003291806020449901,0.0236892913978565,2.9741032014992532,baseline_1C_20min_storage_loss_0.000Ah,0.0,baseline_1C_20min
120,0.016659455350783947,0.003291806020449901,0.0236892913978565,8.073539336656872,baseline_1C_20min_storage_loss_0.000Ah,0.0,baseline_1C_20min
5,0.0167909834830402,0.0033172514165813916,,0.04561923696773534,baseline_1C_20min_storage_loss_0.025Ah,0.025,baseline_1C_20min
10,0.016790983483040645,0.0033172514165813916,,0.159280785590177,baseline_1C_20min_storage_loss_0.025Ah,0.025,baseline_1C_20min
30,0.016790983483040645,0.0033172514165813916,0.02385188816147446,1.017928775367844,baseline_1C_20min_storage_loss_0.025Ah,0.025,baseline_1C_20min
60,0.016790983483040645,0.0033172514165813916,0.02385188816147446,2.99688185711673,baseline_1C_20min_storage_loss_0.025Ah,0.025,baseline_1C_20min
120,0.016790983483040645,0.0033172514165813916,0.02385188816147446,8.142323012999162,baseline_1C_20min_storage_loss_0.025Ah,0.025,baseline_1C_20min
5,0.01689581358633019,0.0033377847811627784,,0.04591017235356432,baseline_1C_20min_storage_loss_0.050Ah,0.05,baseline_1C_20min
10,0.016895813586330632,0.0033377847811627784,,0.16027104066637282,baseline_1C_20min_storage_loss_0.050Ah,0.05,baseline_1C_20min
30,0.016895813586330632,0.0033377847811627784,0.024006058753479373,1.0242513126287374,baseline_1C_20min_storage_loss_0.050Ah,0.05,baseline_1C_20min
60,0.016895813586330632,0.0033377847811627784,0.024006058753479373,3.0174681309586817,baseline_1C_20min_storage_loss_0.050Ah,0.05,baseline_1C_20min
120,0.016895813586330632,0.0033377847811627784,0.024006058753479373,8.206925622454177,baseline_1C_20min_storage_loss_0.050Ah,0.05,baseline_1C_20min
5,0.016968947672372003,0.003352449434402732,,0.04609968492252841,baseline_1C_20min_storage_loss_0.075Ah,0.075,baseline_1C_20min
10,0.016968947672372447,0.003352449434402732,,0.16097750085970725,baseline_1C_20min_storage_loss_0.075Ah,0.075,baseline_1C_20min
30,0.016968947672372447,0.003352449434402732,0.024149812575200588,1.029385306819169,baseline_1C_20min_storage_loss_0.075Ah,0.075,baseline_1C_20min
60,0.016968947672372447,0.003352449434402732,0.024149812575200588,3.0351554508847647,baseline_1C_20min_storage_loss_0.075Ah,0.075,baseline_1C_20min
120,0.016968947672372447,0.003352449434402732,0.024149812575200588,8.266048483528213,baseline_1C_20min_storage_loss_0.075Ah,0.075,baseline_1C_20min
5,0.017006300129897234,0.003360453433096165,,0.04617624201678168,baseline_1C_20min_storage_loss_0.100Ah,0.1,baseline_1C_20min
10,0.017006300129897678,0.003360453433096165,,0.1613599834414699,baseline_1C_20min_storage_loss_0.100Ah,0.1,baseline_1C_20min
30,0.017006300129897678,0.003360453433096165,0.02427916486200073,1.0330837755476017,baseline_1C_20min_storage_loss_0.100Ah,0.1,baseline_1C_20min
60,0.017006300129897678,0.003360453433096165,0.02427916486200073,3.049666963022673,baseline_1C_20min_storage_loss_0.100Ah,0.1,baseline_1C_20min
120,0.017006300129897678,0.003360453433096165,0.02427916486200073,8.319603813059743,baseline_1C_20min_storage_loss_0.100Ah,0.1,baseline_1C_20min
5,0.01700930184561189,0.0033619943312724297,,0.046146233746723046,baseline_1C_20min_storage_loss_0.125Ah,0.125,baseline_1C_20min
10,0.017009301845612335,0.0033619943312724297,,0.16143000732931712,baseline_1C_20min_storage_loss_0.125Ah,0.125,baseline_1C_20min
30,0.017009301845612335,0.0033619943312724297,0.02439270264705288,1.0353553853788258,baseline_1C_20min_storage_loss_0.125Ah,0.125,baseline_1C_20min
60,0.017009301845612335,0.0033619943312724297,0.02439270264705288,3.0608760722688597,baseline_1C_20min_storage_loss_0.125Ah,0.125,baseline_1C_20min
120,0.017009301845612335,0.0033619943312724297,0.02439270264705288,8.36718165183907,baseline_1C_20min_storage_loss_0.125Ah,0.125,baseline_1C_20min
5,0.016983592323840835,0.0033582041816156514,,0.0460262579510401,baseline_1C_20min_storage_loss_0.150Ah,0.15,baseline_1C_20min
10,0.01698359232384128,0.0033582041816156514,,0.16123690704388877,baseline_1C_20min_storage_loss_0.150Ah,0.15,baseline_1C_20min
30,0.01698359232384128,0.0033582041816156514,0.02449143943733729,1.0364096338101452,baseline_1C_20min_storage_loss_0.150Ah,0.15,baseline_1C_20min
60,0.01698359232384128,0.0033582041816156514,0.02449143943733729,3.0692370210465914,baseline_1C_20min_storage_loss_0.150Ah,0.15,baseline_1C_20min
120,0.01698359232384128,0.0033582041816156514,0.02449143943733729,8.409100912186442,baseline_1C_20min_storage_loss_0.150Ah,0.15,baseline_1C_20min
5,0.016934920083282012,0.0033499406332045687,,0.04583923426772915,baseline_1C_20min_storage_loss_0.175Ah,0.175,baseline_1C_20min
10,0.016934920083282456,0.0033499406332045687,,0.16083435536500676,baseline_1C_20min_storage_loss_0.175Ah,0.175,baseline_1C_20min
30,0.016934920083282456,0.0033499406332045687,0.024578299354155442,1.0364285601456507,baseline_1C_20min_storage_loss_0.175Ah,0.175,baseline_1C_20min
60,0.016934920083282456,0.0033499406332045687,0.024578299354155442,3.0750897570802116,baseline_1C_20min_storage_loss_0.175Ah,0.175,baseline_1C_20min
120,0.016934920083282456,0.0033499406332045687,0.024578299354155442,8.447542558542667,baseline_1C_20min_storage_loss_0.175Ah,0.175,baseline_1C_20min
5,0.016870717249807488,0.0033386535896600057,,0.04560769361249497,baseline_1C_20min_storage_loss_0.200Ah,0.2,baseline_1C_20min
10,0.01687071724980793,0.0033386535896600057,,0.16028918654279092,baseline_1C_20min_storage_loss_0.200Ah,0.2,baseline_1C_20min
30,0.01687071724980793,0.0033386535896600057,0.024655452689817236,1.035769479077786,baseline_1C_20min_storage_loss_0.200Ah,0.2,baseline_1C_20min
60,0.01687071724980793,0.0033386535896600057,0.024655452689817236,3.0792420759133474,baseline_1C_20min_storage_loss_0.200Ah,0.2,baseline_1C_20min
120,0.01687071724980793,0.0033386535896600057,0.024655452689817236,8.4824427233504,baseline_1C_20min_storage_loss_0.200Ah,0.2,baseline_1C_20min
